Weapon (Click for note),Right - 1H Light #1,Right - 1H Light #2,Right - 1H Heavy #1,Right - 1H Heavy #2,Right - 1H Light Running,Right - 1H Light Rolling,Right - 1H Light Backstep,Right - 1H Falling,Right - 1H Landing,Right - 1H Jumping,2H Light #1,2H Light #2,2H Heavy #1,2H Heavy #2,Right - 2H Light Running,Right - 2H Light Rolling,Right - 2H Light Backstep,Right - 2H Falling,Right - 2H Landing,Right - 2H Jumping,Chain 1 #1,Chain 1 #2,Chain 2 #1,Chain 2 #2,Chain Running,Chain Rolling,Chain Backstep,Chain Falling,Chain Landing,Chain Jumping,Right - Powerstance - Light #1,Right - Powerstance - Light #2,Right - Powerstance - Heavy #1,Right - Powerstance - Heavy #2,Right - Powerstance - Light Running,Right - Powerstance - Light Rolling,Right - Powerstance - Light Backstep,Right - Powerstance - Falling,Right - Powerstance - Landing,Right - Powerstance - Jumping,Left - 1H Light #1,Left - 1H Light #2,Left - 1H Heavy #1,Left - 1H Heavy #2,Left - 1H Light Running,Left - 1H Light Rolling,Left - 1H Light Backstep,Left - 1H Falling,Left - 1H Landing,Left - 1H Jumping,Left - 2H Light,Left - 2H Heavy,Left - Powerstance - Light #1,Left - Powerstance - Light #2,Left - Powerstance - Heavy,Guard Break #1,Guard Break #2,Shield Poke 1 #1,Shield Poke 1 #2,Shield Poke 2 #1,Shield Poke 2 #2,Riposte,Guard Break Stab,Backstab
Bone Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Bone Staff,24.61,27.20,27.16,28.13,14.55,14.55,14.55,32.01,32.01,32.01,30.74,33.98,33.95,35.15,18.18,18.18,18.18,40.00,40.00,40.00,25.80,28.52,38.02,39.38,20.37,20.37,20.37,44.81,44.81,44.81,18.43,20.37,27.16,28.13,14.55,14.55,14.55,32.01,32.01,32.01,26.57,29.37,29.33,30.38,15.71,15.71,15.71,34.57,34.57,34.57,24.87,27.49,19.90,22.00,29.33,14.74,14.74,23.96,26.48,35.31,36.57,19.40,19.40,19.40
Bound Hand Axe,22.90,25.31,33.74,34.95,18.08,18.08,18.08,39.77,39.77,39.77,28.61,31.62,42.18,43.67,22.58,22.58,22.58,49.69,49.69,49.69,32.05,35.43,47.24,48.92,25.31,25.31,25.31,55.67,55.67,55.67,22.90,25.31,33.74,34.95,18.08,18.08,18.08,39.77,39.77,39.77,24.73,27.33,36.44,37.74,19.52,19.52,19.52,42.95,42.95,42.95,30.90,34.15,24.73,27.33,36.44,18.32,18.32,29.76,32.90,43.86,45.43,24.10,24.10,24.10
Bound Wooden Shield,19.29,21.32,28.42,29.44,15.23,15.23,15.23,33.50,33.50,33.50,24.10,26.63,35.53,36.78,19.02,19.02,19.02,41.86,41.86,41.86,27.00,29.84,39.79,41.21,21.32,21.32,21.32,46.89,46.89,46.89,19.29,21.32,28.42,29.44,15.23,15.23,15.23,33.50,33.50,33.50,20.83,23.02,30.69,31.79,16.44,16.44,16.44,36.17,36.17,36.17,26.02,28.77,20.83,23.02,30.69,15.43,15.43,25.07,27.71,36.95,38.27,20.30,20.30,20.30
Bow of Want,32.68,36.12,48.16,49.88,13.28,13.28,13.28,29.21,29.21,29.21,40.83,45.13,60.20,62.33,16.58,16.58,16.58,36.50,36.50,36.50,23.54,26.02,34.69,35.93,18.59,18.59,18.59,40.89,40.89,40.89,16.82,18.59,24.78,25.67,13.28,13.28,13.28,29.21,29.21,29.21,35.29,39.01,52.01,53.87,14.34,14.34,14.34,31.54,31.54,31.54,22.69,25.08,18.16,20.07,26.76,13.45,13.45,21.86,24.16,32.21,33.36,17.70,17.70,17.70
Broadsword,21.57,23.84,31.78,32.92,17.03,17.03,17.03,37.46,37.46,37.46,26.94,29.78,39.73,41.13,21.27,21.27,21.27,46.81,46.81,46.81,30.19,33.37,44.49,46.08,23.84,23.84,23.84,52.44,52.44,52.44,21.57,23.84,31.78,32.92,17.03,17.03,17.03,37.46,37.46,37.46,23.29,25.74,34.32,35.55,18.39,18.39,18.39,40.45,40.45,40.45,29.10,32.17,23.29,25.74,34.32,17.25,17.25,28.03,30.99,41.31,42.79,22.70,22.70,22.70
Broken Straight Sword,9.50,10.50,14.00,14.50,7.50,7.50,7.50,16.50,16.50,16.50,11.87,13.12,17.50,18.12,9.37,9.37,9.37,20.62,20.62,20.62,13.30,14.70,19.60,20.30,10.50,10.50,10.50,23.10,23.10,23.10,9.50,10.50,14.00,14.50,7.50,7.50,7.50,16.50,16.50,16.50,10.26,11.34,15.12,15.66,8.10,8.10,8.10,17.82,17.82,17.82,12.82,14.17,10.26,11.34,15.12,7.60,7.60,12.35,13.65,18.20,18.85,10.00,10.00,10.00
Broken Thief Sword,14.44,15.96,21.28,22.04,11.40,11.40,11.40,25.08,25.08,25.08,18.04,19.94,26.60,27.54,14.24,14.24,14.24,31.34,31.34,31.34,20.22,22.34,29.79,30.86,15.96,15.96,15.96,35.11,35.11,35.11,14.44,15.96,21.28,22.04,11.40,11.40,11.40,25.08,25.08,25.08,15.60,17.24,22.98,23.80,12.31,12.31,12.31,27.09,27.09,27.09,19.49,21.54,15.60,17.24,22.98,11.55,11.55,18.77,20.75,27.66,28.65,15.20,15.20,15.20
Buckler,11.21,12.39,16.52,17.11,8.85,8.85,8.85,19.47,19.47,19.47,14.01,15.48,20.65,21.38,11.06,11.06,11.06,24.33,24.33,24.33,15.69,17.35,23.13,23.95,12.39,12.39,12.39,27.26,27.26,27.26,11.21,12.39,16.52,17.11,8.85,8.85,8.85,19.47,19.47,19.47,12.11,13.38,17.84,18.48,9.56,9.56,9.56,21.03,21.03,21.03,15.13,16.72,12.11,13.38,17.84,8.97,8.97,14.57,16.11,21.48,22.24,11.80,11.80,11.80
Butcher's Knife,26.22,28.98,38.64,40.02,20.70,20.70,20.70,45.54,45.54,45.54,32.76,36.21,48.30,50.01,25.86,25.86,25.86,56.91,56.91,56.91,36.71,40.57,54.10,56.03,28.98,28.98,28.98,63.76,63.76,63.76,26.22,28.98,38.64,40.02,20.70,20.70,20.70,45.54,45.54,45.54,28.32,31.30,41.73,43.22,22.36,22.36,22.36,49.18,49.18,49.18,35.38,39.11,28.32,31.30,41.73,20.98,20.98,34.09,37.67,50.23,52.03,27.60,27.60,27.60
Caestus,11.50,12.71,16.94,17.55,9.08,9.08,9.08,19.97,19.97,19.97,14.36,15.88,21.18,21.93,11.34,11.34,11.34,24.95,24.95,24.95,16.09,17.79,23.72,24.56,12.71,12.71,12.71,27.95,27.95,27.95,11.50,12.71,16.94,17.55,9.08,9.08,9.08,19.97,19.97,19.97,12.41,13.72,18.30,18.95,9.80,9.80,9.80,21.56,21.56,21.56,15.51,17.15,12.41,13.72,18.30,9.20,9.20,14.94,16.52,22.02,22.81,12.10,12.10,12.10
Caitha's Chime,26.60,29.40,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,33.24,36.74,34.65,35.88,18.55,18.55,18.55,40.83,40.83,40.83,26.33,29.11,38.81,40.19,20.79,20.79,20.79,45.74,45.74,45.74,18.81,20.79,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,28.73,31.75,29.94,31.01,16.04,16.04,16.04,35.28,35.28,35.28,25.38,28.06,20.31,22.45,29.94,15.05,15.05,24.45,27.03,36.04,37.32,19.80,19.80,19.80
Channeler's Trident,24.42,26.99,35.98,37.27,19.28,19.28,19.28,42.41,42.41,42.41,30.51,33.72,44.98,46.57,24.08,24.08,24.08,52.99,52.99,52.99,34.18,37.78,50.37,52.17,26.99,26.99,26.99,59.37,59.37,59.37,24.42,26.99,35.98,37.27,19.28,19.28,19.28,42.41,42.41,42.41,26.37,29.14,38.86,40.25,20.82,20.82,20.82,45.80,45.80,45.80,32.95,36.42,26.37,29.14,38.86,19.53,19.53,31.74,35.08,46.77,48.44,25.70,25.70,25.70
Chaos Blade,23.75,26.25,35.00,36.25,18.75,18.75,18.75,41.25,41.25,41.25,29.68,32.80,43.75,45.30,23.43,23.43,23.43,51.55,51.55,51.55,33.25,36.75,49.00,50.75,26.25,26.25,26.25,57.75,57.75,57.75,23.75,26.25,35.00,36.25,18.75,18.75,18.75,41.25,41.25,41.25,25.65,28.35,37.80,39.15,20.25,20.25,20.25,44.55,44.55,44.55,32.05,35.43,25.65,28.35,37.80,19.00,19.00,30.88,34.13,45.50,47.13,25.00,25.00,25.00
Chaos Rapier,19.00,21.00,28.00,29.00,15.00,15.00,15.00,33.00,33.00,33.00,23.74,26.24,35.00,36.24,18.74,18.74,18.74,41.24,41.24,41.24,26.60,29.40,39.20,40.60,21.00,21.00,21.00,46.20,46.20,46.20,19.00,21.00,28.00,29.00,15.00,15.00,15.00,33.00,33.00,33.00,20.52,22.68,30.24,31.32,16.20,16.20,16.20,35.64,35.64,35.64,25.64,28.34,20.52,22.68,30.24,15.20,15.20,24.70,27.30,36.40,37.70,20.00,20.00,20.00
Chaos Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Chariot Lance,31.54,34.86,46.48,48.14,26.89,24.90,24.90,54.78,54.78,54.78,39.41,43.56,58.10,60.16,33.60,31.11,31.11,68.46,68.46,68.46,44.16,48.80,65.07,67.40,37.65,34.86,34.86,76.69,76.69,76.69,31.54,34.86,46.48,48.14,26.89,24.90,24.90,54.78,54.78,54.78,34.06,37.65,50.20,51.99,29.02,26.89,26.89,59.16,59.16,59.16,42.56,47.04,34.06,37.65,50.20,25.23,25.23,41.00,45.32,60.42,62.58,33.20,33.20,33.20
Charred Loyce Greatsword,26.51,29.30,39.06,40.46,20.93,20.93,20.93,46.04,46.04,46.04,33.12,36.60,48.83,50.55,26.14,26.14,26.14,57.53,57.53,57.53,37.11,41.01,54.68,56.64,29.30,29.30,29.30,64.45,64.45,64.45,26.51,29.30,39.06,40.46,20.93,20.93,20.93,46.04,46.04,46.04,28.63,31.64,42.18,43.69,22.60,22.60,22.60,49.72,49.72,49.72,35.77,39.53,28.63,31.64,42.18,21.20,21.20,34.46,38.08,50.78,52.59,27.90,27.90,27.90
Charred Loyce Shield,21.76,24.05,32.06,33.21,17.18,17.18,17.18,37.79,37.79,37.79,27.18,30.04,40.08,41.49,21.46,21.46,21.46,47.22,47.22,47.22,30.46,33.66,44.88,46.49,24.05,24.05,24.05,52.90,52.90,52.90,21.76,24.05,32.06,33.21,17.18,17.18,17.18,37.79,37.79,37.79,23.50,25.97,34.62,35.86,18.55,18.55,18.55,40.81,40.81,40.81,29.36,32.45,23.50,25.97,34.62,17.40,17.40,28.28,31.26,41.68,43.17,22.90,22.90,22.90
Chime of Screams,24.51,27.09,25.48,26.39,13.65,13.65,13.65,30.03,30.03,30.03,30.62,33.85,31.85,32.98,17.05,17.05,17.05,37.53,37.53,37.53,24.21,26.75,35.67,36.95,19.11,19.11,19.11,42.04,42.04,42.04,17.29,19.11,25.48,26.39,13.65,13.65,13.65,30.03,30.03,30.03,26.47,29.26,27.52,28.50,14.74,14.74,14.74,32.43,32.43,32.43,23.33,25.79,18.67,20.64,27.52,13.83,13.83,22.48,24.84,33.12,34.31,18.20,18.20,18.20
Chime of Want,27.55,30.45,28.70,29.73,15.38,15.38,15.38,33.83,33.83,33.83,34.42,38.05,35.88,37.15,19.21,19.21,19.21,42.27,42.27,42.27,27.27,30.14,40.18,41.62,21.53,21.53,21.53,47.36,47.36,47.36,19.48,21.53,28.70,29.73,15.38,15.38,15.38,33.83,33.83,33.83,29.75,32.89,31.00,32.10,16.61,16.61,16.61,36.53,36.53,36.53,26.28,29.05,21.03,23.25,31.00,15.58,15.58,25.32,27.98,37.31,38.64,20.50,20.50,20.50
Claws,14.44,15.96,21.28,22.04,11.40,11.40,11.40,25.08,25.08,25.08,18.04,19.94,26.60,27.54,14.24,14.24,14.24,31.34,31.34,31.34,20.22,22.34,29.79,30.86,15.96,15.96,15.96,35.11,35.11,35.11,14.44,15.96,21.28,22.04,11.40,11.40,11.40,25.08,25.08,25.08,15.60,17.24,22.98,23.80,12.31,12.31,12.31,27.09,27.09,27.09,19.49,21.54,15.60,17.24,22.98,11.55,11.55,18.77,20.75,27.66,28.65,15.20,15.20,15.20
Claymore,28.79,31.82,42.42,43.94,22.73,22.73,22.73,50.00,50.00,50.00,35.97,39.75,53.03,54.90,28.39,28.39,28.39,62.48,62.48,62.48,40.30,44.54,59.39,61.51,31.82,31.82,31.82,69.99,69.99,69.99,28.79,31.82,42.42,43.94,22.73,22.73,22.73,50.00,50.00,50.00,31.09,34.36,45.81,47.45,24.54,24.54,24.54,53.99,53.99,53.99,38.84,42.94,31.09,34.36,45.81,23.03,23.03,37.42,41.36,55.15,57.12,30.30,30.30,30.30
Cleric's Parma,14.25,15.75,21.00,21.75,11.25,11.25,11.25,24.75,24.75,24.75,17.81,19.68,26.25,27.18,14.06,14.06,14.06,30.93,30.93,30.93,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,14.25,15.75,21.00,21.75,11.25,11.25,11.25,24.75,24.75,24.75,15.39,17.01,22.68,23.49,12.15,12.15,12.15,26.73,26.73,26.73,19.23,21.26,15.39,17.01,22.68,11.40,11.40,18.53,20.48,27.30,28.28,15.00,15.00,15.00
Cleric's Sacred Chime,20.81,23.00,21.70,22.48,11.63,11.63,11.63,25.58,25.58,25.58,26.00,28.73,27.13,28.09,14.52,14.52,14.52,31.96,31.96,31.96,20.62,22.79,30.38,31.47,16.28,16.28,16.28,35.81,35.81,35.81,14.73,16.28,21.70,22.48,11.63,11.63,11.63,25.58,25.58,25.58,22.47,24.83,23.44,24.27,12.56,12.56,12.56,27.62,27.62,27.62,19.87,21.96,15.90,17.58,23.44,11.78,11.78,19.14,21.16,28.21,29.22,15.50,15.50,15.50
Cleric's Small Shield,14.25,15.75,21.00,21.75,11.25,11.25,11.25,24.75,24.75,24.75,17.81,19.68,26.25,27.18,14.06,14.06,14.06,30.93,30.93,30.93,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,14.25,15.75,21.00,21.75,11.25,11.25,11.25,24.75,24.75,24.75,15.39,17.01,22.68,23.49,12.15,12.15,12.15,26.73,26.73,26.73,19.23,21.26,15.39,17.01,22.68,11.40,11.40,18.53,20.48,27.30,28.28,15.00,15.00,15.00
Club,22.52,24.89,33.18,34.37,17.78,17.78,17.78,39.11,39.11,39.11,28.13,31.09,41.48,42.94,22.21,22.21,22.21,48.87,48.87,48.87,31.52,34.84,46.45,48.11,24.89,24.89,24.89,54.75,54.75,54.75,22.52,24.89,33.18,34.37,17.78,17.78,17.78,39.11,39.11,39.11,24.32,26.88,35.83,37.11,19.20,19.20,19.20,42.23,42.23,42.23,30.38,33.58,24.32,26.88,35.83,18.01,18.01,29.27,32.35,43.13,44.67,23.70,23.70,23.70
Composite Bow,37.05,40.95,54.60,56.55,15.08,15.08,15.08,33.17,33.17,33.17,46.29,51.17,68.25,70.67,18.83,18.83,18.83,41.45,41.45,41.45,26.73,29.55,39.40,40.80,21.11,21.11,21.11,46.43,46.43,46.43,19.10,21.11,28.14,29.15,15.08,15.08,15.08,33.17,33.17,33.17,40.01,44.23,58.97,61.07,16.28,16.28,16.28,35.82,35.82,35.82,25.77,28.48,20.62,22.79,30.39,15.28,15.28,24.82,27.44,36.58,37.89,20.10,20.10,20.10
Craftsman's Hammer,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,28.84,31.88,42.53,44.03,22.77,22.77,22.77,50.11,50.11,50.11,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,24.93,27.56,36.74,38.05,19.68,19.68,19.68,43.30,43.30,43.30,31.15,34.43,24.93,27.56,36.74,18.47,18.47,30.01,33.17,44.23,45.81,24.30,24.30,24.30
Crescent Axe,25.56,28.25,37.66,39.01,20.18,20.18,20.18,44.39,44.39,44.39,31.93,35.29,47.08,48.74,25.21,25.21,25.21,55.47,55.47,55.47,35.78,39.54,52.72,54.61,28.25,28.25,28.25,62.14,62.14,62.14,25.56,28.25,37.66,39.01,20.18,20.18,20.18,44.39,44.39,44.39,27.60,30.50,40.67,42.13,21.79,21.79,21.79,47.94,47.94,47.94,34.49,38.12,27.60,30.50,40.67,20.44,20.44,33.22,36.72,48.96,50.71,26.90,26.90,26.90
Crescent Sickle,26.79,29.61,39.48,40.89,21.15,21.15,21.15,46.53,46.53,46.53,33.47,37.00,49.35,51.10,26.42,26.42,26.42,58.15,58.15,58.15,37.51,41.45,55.27,57.25,29.61,29.61,29.61,65.14,65.14,65.14,26.79,29.61,39.48,40.89,21.15,21.15,21.15,46.53,46.53,46.53,28.93,31.98,42.64,44.16,22.84,22.84,22.84,50.25,50.25,50.25,36.15,39.96,28.93,31.98,42.64,21.43,21.43,34.83,38.49,51.32,53.16,28.20,28.20,28.20
Crimson Parma,15.96,17.64,23.52,24.36,12.60,12.60,12.60,27.72,27.72,27.72,19.94,22.04,29.40,30.44,15.74,15.74,15.74,34.64,34.64,34.64,22.34,24.70,32.93,34.10,17.64,17.64,17.64,38.81,38.81,38.81,15.96,17.64,23.52,24.36,12.60,12.60,12.60,27.72,27.72,27.72,17.24,19.05,25.40,26.31,13.61,13.61,13.61,29.94,29.94,29.94,21.54,23.81,17.24,19.05,25.40,12.77,12.77,20.75,22.93,30.58,31.67,16.80,16.80,16.80
Crypt Blacksword,33.82,37.38,49.84,51.62,26.70,26.70,26.70,58.74,58.74,58.74,42.26,46.71,62.30,64.51,33.36,33.36,33.36,73.41,73.41,73.41,47.35,52.33,69.78,72.27,37.38,37.38,37.38,82.24,82.24,82.24,33.82,37.38,49.84,51.62,26.70,26.70,26.70,58.74,58.74,58.74,36.53,40.37,53.83,55.75,28.84,28.84,28.84,63.44,63.44,63.44,45.64,50.45,36.53,40.37,53.83,27.06,27.06,43.97,48.59,64.79,67.11,35.60,35.60,35.60
Cursed Bone Shield,12.83,14.18,18.90,19.58,10.13,10.13,10.13,22.28,22.28,22.28,16.02,17.71,23.63,24.46,12.65,12.65,12.65,27.84,27.84,27.84,17.96,19.85,26.46,27.41,14.18,14.18,14.18,31.19,31.19,31.19,12.83,14.18,18.90,19.58,10.13,10.13,10.13,22.28,22.28,22.28,13.85,15.31,20.41,21.14,10.94,10.94,10.94,24.06,24.06,24.06,17.31,19.13,13.85,15.31,20.41,10.26,10.26,16.67,18.43,24.57,25.45,13.50,13.50,13.50
Curved Dragon Greatsword,32.87,36.33,48.44,50.17,25.95,25.95,25.95,57.09,57.09,57.09,41.07,45.40,60.55,62.70,32.42,32.42,32.42,71.35,71.35,71.35,46.02,50.86,67.82,70.24,36.33,36.33,36.33,79.93,79.93,79.93,32.87,36.33,48.44,50.17,25.95,25.95,25.95,57.09,57.09,57.09,35.50,39.24,52.32,54.18,28.03,28.03,28.03,61.66,61.66,61.66,44.36,49.03,35.50,39.24,52.32,26.30,26.30,42.73,47.23,62.97,65.22,34.60,34.60,34.60
Curved Nil Greatsword,34.58,38.22,50.96,52.78,27.30,27.30,27.30,60.06,60.06,60.06,43.21,47.76,42.44,65.96,34.11,34.11,34.11,75.06,75.06,75.06,48.41,53.51,71.34,73.89,38.22,38.22,38.22,84.08,84.08,84.08,34.58,38.22,50.96,52.78,27.30,27.30,27.30,60.06,60.06,60.06,37.35,41.28,55.04,57.00,29.48,29.48,29.48,64.86,64.86,64.86,46.66,51.58,37.35,41.28,27.52,27.66,27.66,44.95,49.69,66.25,68.61,36.40,36.40,36.40
Curved Twinblade,29.36,32.45,43.26,44.81,23.18,23.18,23.18,50.99,50.99,50.99,36.68,40.54,54.08,55.99,28.95,28.95,28.95,63.72,63.72,63.72,41.10,45.42,60.56,62.73,32.45,32.45,32.45,71.38,71.38,71.38,29.36,32.45,43.26,44.81,23.18,23.18,23.18,50.99,50.99,50.99,31.70,35.04,46.72,48.39,25.03,25.03,25.03,55.06,55.06,55.06,39.61,43.79,31.70,35.04,46.72,23.48,23.48,38.16,42.18,56.24,58.25,30.90,30.90,30.90
Dagger,13.68,15.12,20.16,20.88,10.80,10.80,10.80,23.76,23.76,23.76,17.09,18.89,25.20,26.09,13.49,13.49,13.49,29.69,29.69,29.69,19.15,21.17,28.22,29.23,15.12,15.12,15.12,33.26,33.26,33.26,13.68,15.12,20.16,20.88,10.80,10.80,10.80,23.76,23.76,23.76,14.77,16.33,21.77,22.55,11.66,11.66,11.66,25.66,25.66,25.66,18.46,20.40,14.77,16.33,21.77,10.94,10.94,17.78,19.66,26.21,27.14,14.40,14.40,14.40
Dark Pyromancy Flame,32.11,35.49,26.74,27.70,14.33,14.33,14.33,31.52,31.52,31.52,40.12,44.35,33.43,34.61,17.90,17.90,17.90,39.38,39.38,39.38,25.40,28.08,37.44,38.77,20.06,20.06,20.06,44.12,44.12,44.12,18.15,20.06,26.74,27.70,14.33,14.33,14.33,31.52,31.52,31.52,34.68,38.33,28.88,29.91,15.47,15.47,15.47,34.04,34.04,34.04,24.49,27.06,19.60,21.66,28.88,14.52,14.52,23.59,26.07,34.76,36.00,19.10,19.10,19.10
Darkdrift,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,29.56,32.67,43.58,45.12,23.33,23.33,23.33,51.34,51.34,51.34,33.12,36.60,48.80,50.55,26.15,26.15,26.15,57.52,57.52,57.52,23.66,26.15,34.86,36.11,18.68,18.68,18.68,41.09,41.09,41.09,25.55,28.24,37.65,38.99,20.17,20.17,20.17,44.37,44.37,44.37,31.92,35.28,25.55,28.24,37.65,18.92,18.92,30.75,33.99,45.32,46.94,24.90,24.90,24.90
Defender Greatsword,30.88,34.13,45.50,47.13,24.38,24.38,24.38,53.63,53.63,53.63,38.58,42.64,56.88,58.89,30.45,30.45,30.45,67.02,67.02,67.02,43.23,47.78,63.70,65.98,34.13,34.13,34.13,75.08,75.08,75.08,30.88,34.13,45.50,47.13,24.38,24.38,24.38,53.63,53.63,53.63,33.35,36.86,49.14,50.90,26.33,26.33,26.33,57.92,57.92,57.92,41.67,46.05,33.35,36.86,49.14,24.70,24.70,40.14,44.36,59.15,61.26,32.50,32.50,32.50
Defender's Shield,24.23,26.78,35.70,36.98,19.13,19.13,19.13,42.08,42.08,42.08,30.27,33.46,44.63,46.21,23.89,23.89,23.89,52.58,52.58,52.58,33.92,37.49,49.98,51.77,26.78,26.78,26.78,58.91,58.91,58.91,24.23,26.78,35.70,36.98,19.13,19.13,19.13,42.08,42.08,42.08,26.16,28.92,38.56,39.93,20.66,20.66,20.66,45.44,45.44,45.44,32.69,36.13,26.16,28.92,38.56,19.38,19.38,31.49,34.81,46.41,48.07,25.50,25.50,25.50
Demon's Great Hammer,34.39,38.01,50.68,52.49,27.15,27.15,27.15,59.73,59.73,59.73,42.97,47.49,63.35,65.59,33.92,33.92,33.92,74.64,74.64,74.64,48.15,53.21,70.95,73.49,38.01,38.01,38.01,83.62,83.62,83.62,34.39,38.01,50.68,52.49,27.15,27.15,27.15,59.73,59.73,59.73,37.14,41.05,54.73,56.69,29.32,29.32,29.32,64.51,64.51,64.51,46.41,51.30,37.14,41.05,54.73,27.51,27.51,44.71,49.41,65.88,68.24,36.20,36.20,36.20
Disc Chime,20.05,22.16,37.80,39.15,15.83,15.83,15.83,34.82,34.82,34.82,25.05,27.68,47.25,48.92,19.77,19.77,19.77,43.51,43.51,43.51,28.06,31.02,41.36,42.83,22.16,22.16,22.16,48.74,48.74,48.74,20.05,22.16,29.54,30.60,15.83,15.83,15.83,34.82,34.82,34.82,21.65,23.93,40.82,42.28,17.09,17.09,17.09,37.60,37.60,37.60,27.05,29.90,21.65,23.93,31.90,16.04,16.04,26.06,28.80,38.40,39.77,21.10,21.10,21.10
Dragon Chime,27.84,30.77,29.12,30.16,15.60,15.60,15.60,34.32,34.32,34.32,34.78,38.44,36.40,37.69,19.49,19.49,19.49,42.89,42.89,42.89,27.66,30.58,40.77,42.22,21.84,21.84,21.84,48.05,48.05,48.05,19.76,21.84,29.12,30.16,15.60,15.60,15.60,34.32,34.32,34.32,30.06,33.23,31.45,32.57,16.85,16.85,16.85,37.07,37.07,37.07,26.67,29.47,21.34,23.59,31.45,15.81,15.81,25.69,28.39,37.86,39.21,20.80,20.80,20.80
Dragon Tooth,33.73,37.28,49.70,51.48,26.63,26.63,26.63,58.58,58.58,58.58,42.14,46.58,62.13,64.33,33.26,33.26,33.26,73.20,73.20,73.20,47.22,52.19,69.58,72.07,37.28,37.28,37.28,82.01,82.01,82.01,33.73,37.28,49.70,51.48,26.63,26.63,26.63,58.58,58.58,58.58,36.42,40.26,53.68,55.59,28.76,28.76,28.76,63.26,63.26,63.26,45.51,50.30,36.42,40.26,53.68,26.98,26.98,43.84,48.46,64.61,66.92,35.50,35.50,35.50
Dragonrider Bow,53.49,59.12,78.82,81.64,21.75,21.75,21.75,47.85,47.85,47.85,66.83,73.87,98.53,102.02,27.17,27.17,27.17,59.80,59.80,59.80,38.57,42.63,56.84,58.87,30.45,30.45,30.45,66.99,66.99,66.99,27.55,30.45,40.60,42.05,21.75,21.75,21.75,47.85,47.85,47.85,57.76,63.84,85.13,88.17,23.49,23.49,23.49,51.68,51.68,51.68,37.18,41.09,29.75,32.89,43.85,22.04,22.04,35.82,39.59,52.78,54.67,29.00,29.00,29.00
Dragonrider Greatshield,25.08,27.72,36.96,38.28,19.80,19.80,19.80,43.56,43.56,43.56,31.34,34.64,46.20,47.84,24.74,24.74,24.74,54.44,54.44,54.44,35.11,38.81,51.74,53.59,27.72,27.72,27.72,60.98,60.98,60.98,25.08,27.72,36.96,38.28,19.80,19.80,19.80,43.56,43.56,43.56,27.09,29.94,39.92,41.34,21.38,21.38,21.38,47.04,47.04,47.04,33.84,37.41,27.09,29.94,39.92,20.06,20.06,32.60,36.04,48.05,49.76,26.40,26.40,26.40
Dragonrider Twinblade,30.31,33.50,44.66,46.26,23.93,23.93,23.93,52.64,52.64,52.64,37.87,41.85,55.83,57.80,29.89,29.89,29.89,65.78,65.78,65.78,42.43,46.89,62.52,64.76,33.50,33.50,33.50,73.69,73.69,73.69,30.31,33.50,44.66,46.26,23.93,23.93,23.93,52.64,52.64,52.64,32.73,36.17,48.23,49.96,25.84,25.84,25.84,56.85,56.85,56.85,40.90,45.20,32.73,36.17,48.23,24.24,24.24,39.40,43.54,58.06,60.13,31.90,31.90,31.90
Dragonrider's Halberd,32.30,35.70,47.60,49.30,25.50,25.50,25.50,56.10,56.10,56.10,40.36,44.61,59.50,61.61,31.86,31.86,31.86,70.11,70.11,70.11,45.22,49.98,66.64,69.02,35.70,35.70,35.70,78.54,78.54,78.54,32.30,35.70,47.60,49.30,25.50,25.50,25.50,56.10,56.10,56.10,34.88,38.56,51.41,53.24,27.54,27.54,27.54,60.59,60.59,60.59,43.59,48.18,34.88,38.56,51.41,25.84,25.84,41.99,46.41,61.88,64.09,34.00,34.00,34.00
